,Number of ratings,Full Review
10,4,"As per my usage I think the battery is adequate as I don’t often use my phone and at the end of the as per my usage the battery percentage remains at 40% but if you are a heavy user then you might feel the drain. The screen is small and typing might be an issue but after few minutes on you’ll get used to it, the camera and the screen are awesome and the picture quality superb as per my liking. I would recommend a screen protector as minor scratches may occur, which might be caused while clean..."
11,5,"Switched from iPhone 6s to this device. Surprisingly it’s more than what I expected. I was a bit worried about the battery but it turned out to be amazing and lasts 1 day easily with a normal usage for a guy like me whose screen time is around 8-9 hours a day.
Screen size is perfect and handy. 😍
This is the future! 💙"
12,5,The great mobile . I loved the design and colour. I will not tell about the performance as apple makes it . No doubt it is one of the greatest set. Feel likes my apple 5s. I have used from 5s. Very light weight.
13,1,"Brilliant processor with a tiny battery.

Pro: This phone has the fastest processor in the world.
Con: With a tiny battery & small screen they aren’t pretty useful.

Pro: Supports Dolby Vision HDR Video recording and playback
Con: once you export the video to laptop or pendrive to watch it in big screen, dolby vision disappears from the video and it gets converted to SD. This defeats the whole purpose of having a dolby vision recording facility

Pro: low light photography is really good
Con..."
14,5,"It is a perfect size phone with a perfect camera and an average battery,screen quality is super good.I loved it❤️"
15,5,"It's a new phone I've bought and till today I'm totally satisfied with this product 😊 good job Flipkart. Last year I brought an iPhone XR from Flipkart. Which is till date a wonderful and a problem less phone. And this year few days back, I bought this iPhone 12mini. This mini I gifted to my fiancee(babe) and she's more than happy. Moreover she just loved the color ans of course the phone too. All this is sufficient for me 😊 Therefore I would like to thank Flipkart for making this phone a d..."
16,5,"I switched from an iPhone 6s to a 12 mini and the difference is incredible. Before buying the 12 mini, the two complaints I heard most often from reviewers were about low battery life and the lack of a 120 Hz display. However, especially coming from an older iPhone, I find the battery life to be more than satisfactory and iOS is already so smooth that I hardly notice the lack of a high refresh rate. The main reason for my purchase is its size, so easy to handle and just the way i wanted. Also..."
17,5,"This phone is looking wise small but not
It is pretty good and Comfortable .. looks rich in hand, very premium.

Come to camera iphone 11 and 12 mini are same
The only difference in camera is night mode on 12 mini is too good even it works for wide angle also 😍


Battery back up not bad.. 🙂decent for average user
And this phone is comes with 5g bands
😍 …

I am satisfied with this phone
My first iphone 12 mini 😍"
18,5,"It is a decent product apt for working people who more time on using necessary applications for online transactions, work discussions, official dashboards and other significant tasks. The size is so nice for my small palms… I am so happy to buy this beautifully smart product😍😍"
19,5,The iPhone 12 Mini In BBD Sale In Just 39 K Is Super Awesome Personally i Like This Device So Much And i Also Have iPhone 11 And i Love This Device More Than iPhone 11 You Can Go For it And Totally Worth Of Your Money😍❣️😇
20,5,Apple is always Apple....The introduction of the mini series is another plus point here....I know there are many like me who doesnt want a 6+ inch phone...rather would want one thats easy to hold and use...The iPhone 12 Mini is just that....a powerhouse of a phone packed in to your one palm....I got it for a stellar deal during the BBD ....that's a stellar of an Offer...and the Purple...is just stunning...!
21,5,"Outstanding performance. Upgraded from iphone 6 to 12 mini.
I want to share review spacially about battery _ battery is very good for users who don't play any games.
Camera and sound quality is top notch.
Go for iphone 12 mini without seeing any kind of reviews."
22,5,I upgraded this to iphone 11 and i am very happy to receive it it’s so handy and lite weight camera quality is amazing battery capacity is little low but can managed.💕
23,5,My first iphone look like a beautiful value for money bast seller I am very happy thank you for flipkart
24,5,"Simply Awesome 🔥
My first ios device and love it ❤️
Blindly go for it if battery backup is not a big deal 😇
Its like a Nano car body with Ferrari engine 😝"
25,5,"Very happy with the phone.
Performance, Camera, Display- very good.
Not small as I thought, right size.
Only problem is small battery.
Thank you Flipkart for the great price and prompt delivery."
26,5,Most beautiful handy apple phone love it & amazing
27,4,Battery is okay otherwise mobile is fantastic and superb to use and camera is outstanding so i give 4 out of 5 stars.
28,5,"I've been using iPhone 12 mini for past couple of months, If you're in doubt of whether to buy or not. I'd suggest you go ahead. I've used both iPhone 12 and now 12 mini, the only difference you're gonna find is 1hour of battery difference. Irrespective of what kind of user you are the battery difference would be only 1 hour. So if you're interested to take this small compact power machine, go ahead without doubt, since i dont think there's a big difference in that 1 hour mark.

If you ask m..."
29,5,I'm in love with this phone. This is super handy and value for money. Go for it....💟💟
30,5,super camera quality love flipkart thank you sooo much welcome your big Information
31,5,"This is what we call a mobile, perfect size , handy to use. Love it."
32,5,"Saw a lot of negative reviews for the apple iphone 12 mini regarding the battery, but I did not face any such issues. I have been using for almost two weeks now. The battery lasts almost a day for me with moderate usage. FYI, I don't play any games. I just love the compact feel of the phone. Although it is a bit slippery and need a case to have a good grip.
The transition from my existing iphone was smooth.
Got an excellent deal from Flipkart with quick and safe delivery.
The phone charges..."
33,5,The in-hand experience of this phone is great. Would definitely recommend buying if you have small hands like me and/or you want a phone that’s comfortable in your hand! The OLED display feels great and you can really tell the difference when comparing it to iPhone XR or an 11! Camera is superb as well as day to day performance. I know the name’s Mini but still it’s bigger than an iPhone 7/8/SE and you will get used to it eventually! The only drawback i’ve found is that the battery life could...
34,5,"I got very nice deal in BBD offer, I am android user and still migrating to ios. Lookwise it looks stylish and very handy and light weight. This review is after one week usage."
35,5,really awesome 😍 after 6 years. Am upgrade to 12mini .. performance wise ultimate mobile. battery backup is average 6 to 7hrs.. performance wise killer like a pro 👽
36,3,"I phone 12 mini is good in terms of size, camera quality is best in class, all the app are secure unlike android , but the main problem is battery is too small and he will drained quickly .
Even though it supports fast charging with 20w adapter(need to buy separately ), there is heating issue if use excessively for 1 hour.
Overall its good better would have been better

when it come`s to Flipkart delivery and exchange its not good
Flipkart offers open box delivery but delivery agent was n..."
37,5,Very compact and easy to handle. Captures great picture and mostly preferable for those switching from iPhone 6-6s. All in all its a beast in small pack!
38,4,"It’s good phone under 35k
To all people who says battery is not good here is my screenshot i am getting easy 7 hours of screen time"
39,4,"Mini - definitely yes. But features are so perfect for another 4-5 years.
Display- 10/10 so cool and crispy
Sound- absolutely good
any feature- it is comparable with any hi-end mobile in this world today!
speed- superb
Camera- so natural

Negative
Battery- Yes it is good for only for aday- but i think still it is good"
40,5,value for money…. it’s battery is not that bad i charge it in morning and it lasts one day for normal use and it has 7-8 hours screen on time …. performance is best bcz of A14 chipset … camera is bestest … and display and touch is feels like water of river … if you are going to iphone from android you will feel that it has best performance
41,4,Some apps for online sellers like that of FlipKart and UniCommerce not too compatible with IOS. Secondly not a single whatsapp chats from Android was transferred to this phone. The built quality of this phone is fine but it’s too slippery to be used without a case.
42,5,"This is my first Mini, coming from an XR and 7plus, I was a bit apprehensive of going for a small screen, however once I got the phone I knew I had made the right decision.
Purely from an usable form factor, getting used to the small screen, took me all of 60bseconds.
I use my phone primarily for office stuff, and this fits the bill.
It's compact, can be used by one hand easily, slipsnin your pocket, without odd bulges and hence is extremely comfortable during traveling or even riding a bi..."
43,5,"Camera is good no arguing with that , the processor is really powerful helps me edit images and video faster …. Battery life is decent 6-7 hours Totally worth it if you watch video and movies on mobile very good colour details you can see …. You cannot play pubg very comfortably on this phone because of its size …..totally worth it for me"
44,5,"There was a delay on account of rescheduling from my side. But Flipkart had been exemplary in resolving the issue with courier partners and delivering it finally. So cheers to Flipkart and its customer care executives. It’s an awesome phone in small form factor if that excites you with outstanding display, camera and performance and one handed usage. Wish the battery had little more juice to last through the day. If u can spend 8 to 10 k extra go and grab it’s bigger sibling iPhone 12."
45,5,Those who love compact phones this is their life’s best deal… A total power packed machine.. simply loving it day by day😍… unlikely this time something provoked apple to release this beast… anytime soon expecting an update over the camera to stabilize 30 fps on all modes… hav to talk abt the display… simply a massive one…
46,5,Thanx Flipkart for solving my issue. Got the beast in 37k on day of sale. Performance booster ideal for people with small hands and liking for small phones. Android is nowhere to is except customizations. Battery is adequate however for gamers need a good PowerBank for fast charging.Got in exchange for Buyback Value for Mi10T
47,5,"It has been nearly 25 days now after I bought iPhone 12 mini and so far the phone performs just like it should! Super fast and super crisp display. Only rouse would be battery which lasts 24 hours on regular use of social media, videos, camera and browsing. So minus point there but this is iPhone 12 mini with smaller size with same performance of iPhone 12. So compromise on the battery was obvious. I just love how Apple managed to keep the size of the phone smaller than iPhone SE 2020 edition..."
48,5,"Performance is flawless as like pro
Everything is amazing only battery
Performance is not so well but if u
Are a moderate user then it is more then
Sufficient"
49,5,"Superb product!!
Shifted from iphone 6s to this.. No complains. best camera, fast charging, smooth interface, secure. And apple logo 😜.What else you want..
And don't worry about display size it is comfortable and size is good..
Go for it!!"
50,5,Wonderful iPhone I exchanged with iPhone se 1st gen. it’s a great jump I got this at 33k in bbd thank you Flipkart. It can last up to next 4-5years without any issues and lots of updates. Great support from apple. After using of two months I feel battery is last up to 6 hrs of screen on time.
51,4,"One should buy this mobile if it will comfortable with small display size along with battery capacity. I have some pros and cons of this mobile after using it more than a week and I want you to know this before you make any buying decisions

PROS :
• Camera 😍
• OLED Display 😍
• stereo speakers 👍
• Sound Quality 😌
• Magsafe eligible 💕

CONS:
• small (5.4 inch display)
• battery is not sufficient for long durability ( 9-10 Hrs. Backup on normal usage in a day )
• pricing (if you get it ..."
52,5,This is the best iPhone . I purchased it because of the size. I wanted small sized phone which will be handy. Thanks Apple company too😊👍. Bigger battery it can last for full day .Works very smooth. I am Very happy with the IPhone 12 mini . I will definitely recommend this iPhone .Go for it . And Thanks flipkart for fast delivery.
53,5,"Bought on oct 9

Superb deal.. purchased this for my mom.. great cameras
In hand feel is superb.. the small size is apt for my mom.. she can easily use it with one hand.

Update : 21st oct

12 mini is nice for it's looks , feel, cameras, speakers, display

Only battery is just about average.. (when i used for a day i got about 5 hours of screen on time with medium usage) but it's last long when my mom uses.. being the primary user she is very much satisfied with it."
54,4,"I had bought this phone during sale for 37499. It’s good deal for me. Overall the performance of the phone is good except few things like backup and camera. The camera is not super great, the other phone one plus nord 2 is doing better than this in terms of camera and power back up time. If you are looking for a small phone and for personal use go for it. But if you want to use for business purposes don’t buy this."
55,5,"Very fast delivery and Genuine Product! Initially, I was thinking to order from Apple online Store, India or Amazon. But I couldn't find the HDFC discount. Flipkart gives instant discount which is not available in any other providers.
Very much happy to purchase from Flipkart and the Phone is working absolutely fine.

Thanks Flipkart"
56,5,"Excellent phone for those who are looking for a handy, yet features packed phone. Heavy users won’t be satisfied with the battery backup. Excellent camera and speedy performance. Feel of the phone is very premium because of the squared off design."
57,5,"Everything is great in the phone. I am an average user and satisfied on this product. It’s really a compact phone and enjoying it. Recommend for those who want a small compact and powerful device.

Battery: as per my usage it lasts from 7:30 am to at least 11:30 Pm."
58,5,"Android has more features, is more convenient to use and less restrictive like I cannot send files via Bluetooth to android devices, cannot download ios updates using mobile data need WiFi connection for that. Ios is more secure and is smoother. People who love Small light weight flagship phones should go for this one."
59,5,"Best phone for Average day usage Don’t buy if you are a heavy gamer because of battery
Camera quality is Beast at this price point
Everything will become smooth like butter with A14 Bionic

Here are some pictures of iPhone 12 Mini"
60,4,"One of the best compact phone. Go for it.
Apart from its small battery everything else is just mind blowing. Value for money.
Also a moderate use gives me 6 hrs screen time. Best to enter the ios segment."
61,5,Compact and easy to handle I have used XR before but 12 mini different experience like iPhone 5s so compact !! Camera was awesome !! No doubt iPhone camera never feel bad for u ! Finishing of the mobile so great ! Always apple products fan !! Love it
62,5,"Best phone, don't hesitate in buying the 12 mini as its the perfect size if you don't like those ugly big tv like sized phones."
63,5,"If you want a compact phone, go for it.
Build: premium feel
Cameras: really good
Display: fantastic oled screen
Performance: great
Bonus features: water resistant, ceramic shield, wireless charging, face id, 5g, stereo speakers, smooth ios.
There is no other alternate product that gives such good specs, features and quality into a small, handy phone ( except the 13 mini! 😁)

Just keep in mind the following:
Screen size: I usually do browsing and most other stuff on laptop, so the small s..."
64,5,"It's been 2 months now since I purchased my first iphone. Earlier I was really worried about the size and battery but after using it I have realised that it is worth it. Display, camera, operating system and speakers are always awesome on iPhone. Also, the size is small but that is fine for normal use. Even its battery is more than what I was expecting. Overall it is a good buy at Rs. 43k which I purchased during big billion days. I can easily get 6 hours of screen time although I am a heavy ..."
65,5,"Very good product thanks to Flipkart, valuable for money , my ratings 5/5 Camera quality is very good performance very good"
66,4,"Am using iPhone first time and loved it, good performance and quality wise super"
67,5,"Awesome camera, far better performance on 4K video editing than even my laptop with dedicated GPU. True tone display is a blessing. Screen gets plenty bright outdoors. Phone feels just right in the hand, very easy to type with one hand.
Battery life could use some work, even with my light use it just lasts a day, so those with heavy use might need to charge this twice or thrice a day. But a smaller battery charges faster so there is that.
Overall, it was a very good deal for what I paid."
68,5,"The right size, not one of those oversized phones that we see all around where phones does not even fit in our pockets.
Everything is top notch, except the battery, it lasts 3/4th day for me. But meh cant expect everything right?
So much better THAN using a chinese phone nowadays"
69,5,Perfect size. Perfect performance. Havent seen a better camera on a smart phone before. Got it for an awesome 42k. Only thing it lags in is battery. But then if you are like me and you dont travel around much its not a great deal. Screen and performance in general is spotless. Get it definitely if your sick of bulky phones.
70,3,"Everything is good about Apple 12 mini except the battery. It discharges very soon and doesn't even last for one full day, on regular usage (regular calls, Wi-Fi). I am a bit disappointed with the battery and hoped it wasn't that bad. But my hopes were thrashed when I monitored the battery % every hour, and it decreased gradually every hour!

Earlier I had used Redmi Note 4 for four years and 3 months. I felt the 4 year old battery of Note 4 still performed better than the 12 mini battery :(
..."
71,5,"This is my first iphone. One of the best and compact iphone I purchased, why I choose this phone because of the price drop, l usually go for android phone maid in india product like Samsung and lg also i used Blackberry one of my favorite phone because of price point when compared iphone are costly, now I moved to IOS it's really worth buy.
I don't recommend this phone for the heavy users like game play and video created pls try other variant, this phone is for light users just for calls, ms..."
72,5,"Previously i was having oppo reno 5 pro 5g then I exchanged it to ip 12 mini
Advantages of upgrading : Unbelievable performance, good rear camera , kata seb
Disadvantages : Only 2hr battery backup on gaming (bgmi) , you will face alot of problems regarding screen size specially if you are a gamer , takes 1 hr 20 min to full charger with official 20 w apple adapter overall it is good if you can afford IP 12 go for that
Overall it is good"
73,5,"Good and smart useful phone at a good price point now .. especially for them , who prefers single handed operation and a relatively small display.
Battery is good to stay for nearly 2 days with moderate use.
Face recognition is sensitive enough.. however, in today’s situation of with-mask operation, I find my earlier iPhone SE 2020 with fingerprint sensors a more useful feature especially outside."
74,5,I ordered 12 and 12 mini both 128 gb variant… You got everything power performance camera built quality in small phone which is very comfortable to use with one hand.. slides into ur pocket nd u will not feel that its there. Very light weight. Dont worry about battery… can easily work 4 one day in normal usage if u r not a gamer. And furthermore u got fast charging.. can easily charge within minutes… Best Size
75,5,"The best at this discounted price. Extremely vfm at 34k in bbd sale with bank offers. Feels so good to hold a compact yet very usable size phone with the best processor and amazing cameras. Using it as my professional phone apart from my earlier oneplus 7t and in my 2 days of use, I am getting a hang of things, but this phone is very capable performer. Heavy performance tasks like games come at cost of battery drain. Battery is amazing, lasts from 9 am till 9 pm with normal day usage. I am ho..."
76,5,"The most perfect iPhone in recent times. Perfect in size, in performance and in quality. For those who hate huge bulky phones and for those have small hands, this is the best bet.

Camera is too good for a phone of this size."
77,5,"There's nothing like battery issues, yes its a business phone a serious business phone which can do important things like calls mails messages way too faster with full energy from 08 am to 08 pm what else you need a less distraction and a better way what phone can do... class apart mini super computer."
78,5,"I’ve never had an iPhone or anything apple and at 22 years old I decided to make the switch from android. I got the mini because I feel like it’s perfect for my needs as far as size and how iOS 15.0.2 is so user friendly,fast and customizable. Screen is very crisp and bright, colors vivid. Android got pretty stale for me but I never did have any of the more expensive Samsung or pixel phones, just the basic boring run of mill ones. So this was a successful transition for me and I felt like I w..."
79,5,"I am using this phone from last 15 days..I must say Apple is Apple..No lag nothing... Camera Clarity is flawless even in night mode..I purchased this as a secondary phone but now I am thinking to make it as a Primary Phone..
Too handy and you can easily use one big phone with this..
Got this in a deal with 6 months No cost EMI."
80,5,"I upgraded it from my iphone 7 plus every is great like display,size,performance,camera but battery life is just ok if u are a heavy user u can get like 5 hours out of it but if ur normal user u can get a battery of like 12 max it doesn’t have a battery for whole day well buy it if ur a normal user and if small battery doesn’t bother u that much"
81,4,"Loved the product and the price. One star deducted for the not so good exchange experience. Didn’t opted for the exchange offer, however the iPhone experience both on performance and cost parameters is unmatched"
82,5,"AWESOME phone! Apple did really great!!! Can’t go for Android as I am into apple from last 10 years so I definitely like this one too.
Seller is genuine, no trouble after using iPhone for almost 4 months post delivery. Had fear in the start as I am mew to Flipkart and ordered a 75k product from here. But thankfully everything went great and I am satisfied. If you have money and want to buy a great phone, go for this, and if you need bug battery and huge screen then go for regular or pro or p..."
83,5,"Awsome experience. First I thought being smaller phone it may have down side on the battery, but it is giving a decent battery life. Camera is awsome, performance is butter smooth. Display is pretty impressive and the smaller size fits perfectly in hands. Once started using you will never go back to bigger phones!!!"
84,5,"Best in class in every sagment just go for it battery backup is also descent good enough for average user it's about a day, I'm a moderate user bt my phone goes for a day with single charge and wide angle camera is not as expectations"
85,5,"My first switch from Android to iOS and I couldn’t be happier. This phone is everything you need. Be it the perfect size or the smooth performance, iPhone 12mini won’t disappoint you. Though the battery doesn’t last very long, the super fast charging makes upto it. The perfect package. Cute and Classy. ❤️"
86,4,"I’ve always preferred phones with small form factor. However, we barely get smaller phones in android these days. So 12 mini happened to check that box for me. Firstly I got the at a very good price during Flipkart’s sale. So there isn’t much I can complain about. Its been over 2 weeks since I’m using this device and its been great so far.

The only problem I’ve faced with this phone so far is the battery. Even if you are a moderate user you will have to charge this phone twice in a day. How..."
87,4,"Everything is Amazing about this phone except the screen size. It's just too small, you'll feel it always while typing and watching videos. IOS doesn't give you even 10-20% of freedom to customise and enjoy your phone to the fullest as compared to android. Even basic functions like pause while videos recording, call recording, clear notification with just a swipe, all control toggles etc are completely non existent. It doesn't give you even 40% of android. The only reason to buy this is the A..."
88,5,Awesome phone with a compact form factor. Everything is marvellous. The screen is 5.4 inch which is good enough for one hand use as well as media consumption. Best for people who want compact phone
89,5,Awsum camera switch 7 to 12 mini its like Rocket.. Thank u flipkart for best deal and best price..
90,5,Great phone but size might be small. It feels even smaller than iphone se 2020. So if you want big screen and better battery not recommended to get this. But you get same features as iphone 12 if you dont mind the size and battery.
91,5,"My new Iphone 12 mini looks my decent and very light.carema clarity is good and best for video making.
If you want big size for mobile approximately 6 inch .then it is not for you .
If you want light weight while calling and medium size of Iphone. Then it is good.
Finaly , I am happy with this blue iphone 12 mini.😊😊😊👍👍"
92,5,"Amazing deal thanks to Flipkart and bought it immediately. Coming to the phone, i came from an Iphone 6s so this is just amazing for me. I absolutely love the screen size and think it’s perfect for me."
93,5,"First I was Scared to buy apple products from flipkart.
But after received the product I appreciated the flipkart.. Delivery was little bit late because of big billion heavy sales otherwise everything is perfect.. trust levels on flipkart is higher with this attempt.. Good Service Keep going on like this."
94,5,"Very nice and cute mobile. I gifted it to my wife and she is very happy with the product and it's performance. Very good camera and screen display. Battery life can be improved but with moderate use its giving a full day of charge. Video quality and the sound are the Best. I bought it in sale and I got value for money with this product.
Wanted to mention that the packaging was not good and when I received the parcel I didn't expect that I will receive iPhone in this bad packaging but other t..."
95,5,Trust Me.. Just go for it if you love mini things.. this is a amazing phone. And if you are confused between 12 and 12 mini then just go to physical shop take the phone in your hand and use it for a min.. you will get you answers. Don’t get confused. Thank you Flipkart for faster delivery and authentic product. They also have provided open box delivery.
96,5,"The size is perfect. Upgrading from iphone SE to this has been super exciting. Go for it without any doubt. The battery backup could have been better but knowing apple that’s okay. I am not a heavy user and mainly use phone for work and slight multimedia, the battery lasts almost a day."
97,5,"A compact phone with elaborate features of high end device for an affordable amount in high end smartphones. Superbly handy, perfect screen space, battery lasts for almost 24 hrs (with no gaming) and average screen time of 6-7 hrs. Best for those who like sub-six inch phones."
98,5,It was awesome product applause made a new generation utilising that people use very smooth appearance is good I’m satisfied with this device
99,5,"Guys, size is super cool and very light. It is perfect for those who like small and light mobile. Blue colour looks great, display and sound quality is great. This is my first ever iphone so struggling a bit l, but happy to have iphone, it is very smooth.

The only problem I am facing is w.e.t jio cellular reception, I could see only 1 or 2 network signals in iphone but if I switch to android phone, is show full network signals."
100,5,"No issues with the product...it came on time to my place with well packaged.
Got proper item which I ordered....I am happy with it. Very much impressed with the service..
Carry on the Good job flip kart... Thanks."
101,4,"I liked everything about it but its gets too much hot while playing any game and it’s battery life is not so good, it’s just fine if you don’t use it for gaming. Otherwise, everything is awesome."
102,4,"Good phone , not really worth 40k , but if you’re an apple lover or would like to try it , not a bad deal. Performance is nice and crisp , battery lasts for almost a day and you get fast charging with the apple adapter, which needs to be bought separately. Camera is amazing along with display and other features. Compact phone, if the size is ok with you , it’s quite cute."
103,5,"If you’re ok with the phone being a bit smaller than usual, this is the phone for you. 5g ready with dual sim.. almost a latest phone. You can use it for 4+ years without any haste. I ordered two phones and am happy using it. Thanks for the offer on big billion days sale Flipkart"
104,5,I was using SE 2 and upgrade to this beauty for 34k after bank cashback which is a great deal. Camera is very good and battery is much better than my old SE 2. Very handy and comfortable to use. My primary phone is Samsung Galaxy Note 10+ but now after starting using 12 mini this has become my primary mobile. Thanks Flipkart for an amazing Offer for this beast. Hope other Android Manufacturers also produce same kind of mobiles like under 6 inch will be a good option.
105,1,"Please don’t buy this mobile. Screen colour is something like yellow, most of the apps are not adjusting to the screen size, sound quality is good but when I am in call I am not able to hear my frnd voice properly and apple cable is too small

Last but not least battery life🤦👎"
106,5,"I was looking to upgrade my iphone 6s to 11 and got this cute handy phone to 35k during the big billion days. I was bit anxious about its battery back up but now iam very happy with this phone. As a medium user, i am getting full day back up with an average daily use of 4:45 hrs. You will get a maximum of 5:30 hrs screentime with a single full charge. Built quality and performance is as usual top notch."
107,4,"The phone is best suited for those who are looking for a compact phone for day to day task. I will recommend it for heavy gaming like pubg because of the compact screen. As far as the performance is concerned the phone is awesome. Also, battery last for a day even if used whole day. Overall a good experience."
108,5,"You can do everything with your one hand, I like that.. Battery better than previous versions but still need improvements. Screen fits well but should have been better if there weren’t notch at the top.. Rest iPhone is iPhone no comparison"
109,5,"Everyone knows about the phone from various platforms. Hence I have only a small UX feedback.

Everything is good about the phone if you can precisely touch your screen.

If you have big fingers or you are not very precise in touching the phone is not for you."
110,5,"Very comfortable in hands
Catchy design
Not to mention the smoothness offered by iOS and the A14 Bionic. No lag experienced at all whatsoever
To top it all, you get 5G (which is future proof), ip68 water and dust resistance
Last but not the least, the care you get from Apple support is unlike many support services. Their chat services are very fast
Rest of the specs are at par or above for a phone of this category. No mention needed"
111,5,"Excellent and ergonomic phone. In the world of super big phones, iphone 12 mini is perfect for people who want both small size and top spec performance"
112,5,I was concerned about the size of the phone first as I was using a phone with a size of6’1 inches but it just took me hardy a week to settle down and now I’m comfortable with it i just loved the phone the camera is insane the ui and the processor is good everything is great about the phone
113,5,"Well what to say about 12 mini amazing, brilliant, fantastic as always. If you are reading this then you should go ahead and buy this iphone you are gonna be satisfied !"
114,5,It's a excellent product . Easy to use and excellent battery life . Camera no words ...best n excellent charging speed .
115,5,Good handy fast phone I upgraded from Apple SE ..satisfied
116,4,"Am an average user I am really comfortable with the phone only one issue I feel is that overheating the device when we use camera.other than it’s a good phone having good battery backups around 10-12hrs
Getting good pic and video in natural colour and night mode also superb"
117,5,"good phone sound is good but the only thing you will face with battery. with normal usage, you can use for 12 hr or less but overall is good if you are ready to charge two times in a day"
118,5,I think it’s the best form factor for an iPhone. Albeit would have loved the iPhone 13 battery capacity in this one! The screen is just absolutely gorgeous and you’ll really enjoy using the phone ! Camera is great as expected.
119,5,Compact dynamite
120,5,Best camera.. My first iPhone
121,5,Just awesome
122,5,Awesome phone and battery is also good… highly recommended…
123,5,"I’m happy to purchase this
I am giving this review after two weeks usage
Awesome display
Fantastic Camara
Descant battery backup
I loved iPhone 12 mini"
124,4,"Superb
Love it
iPhone is iPhone"
125,5,The best camera you could get from a smart phone at this price. Loved it ❤️
126,5,Camera quality 100%
127,5,Awesome
128,5,I liked camera feature so munch
129,5,iPhone fan. Awesome phone.
130,5,Amazing
131,5,Awesome product by Apple awesome camera. Can’t describe in words
132,4,"I love it. My main concern was the battery, but it lasted for the entire day. Works for me 👍🏼"
133,5,The best compact iphone with feature loaded. Clicked this pic at night 11.30 in a rainy night
134,5,Nice performance and video quality best
135,4,Very handy phone
136,4,This Colour is real nice
137,5,"Loved it totally, dream come true iphone love yahoo, thank you flipkart...."
138,5,"1 week after use IPHONE STILL WORKS MAGIC. it keeps up the brand name and standard. Camera, processor, display all are better and better.
Updated from 6s plus to 12 mini.
Happy customer"
139,5,"Battery quality is improved alot ! 10/10 for this phone !💋
Go for it ! Awesome product !"
140,5,Beast that fits in your palm 🤟
141,5,Nice
142,5,Nice product
143,4,Awesome and handy mobile
144,4,Good one🙌
145,5,"Excellent Phone.. I use it as a secondary phone for office so only use it for callings, whatsaap & mails so lasts 2 good days for me."
146,4,nice camera...
147,4,Best iphone
148,1,"Phone is awesome, no complaints whatsoever. Just a bit concerned about the import date which is showing as nov last year, rest all good.
However Flipkart is kind of scamming people by giving false exchange value of old phones. The delivery person was inspecting my old phone in such a way to intentionally find some fault, which he eventually did by finding a small paint dot on the side, and failed it by categorising it as broken body thus dropping the price by more than half of what was promi..."
149,5,Great
150,4,Nice....supb
151,4,Camera lover it
152,5,Wonderful performance . everything is perfect
153,5,Mini is the perfect companion for those who need handy phone with power packed performance.
154,5,My dream phone first ever iPhone happy 😁😁😁😁😁
155,5,Awesome phone. Once a Apple user always buy only apple
156,5,Very good night mood shot
157,4,Good
158,5,Superb!
159,5,Best ever handy
160,5,Value for money .... Good body to screen ratio...beautiful lill monster
161,5,Just Go for it..
